Year,State,Carlow,Dublin,Kildare,Kilkenny,Laois,Longford,Louth,Meath,Offaly,Westmeath,Wexford,Wicklow,Clare,Cork,Kerry,Limerick,Tipperary,Waterford,Galway,Leitrim,Mayo,Roscommon,Sligo,Cavan,Donegal,Monaghan
1841,"6,528,799","86,228","372,773","114,488","202,420","153,930","115,491","128,240","183,828","146,857","141,300","202,033","126,143","286,394","854,118","293,880","330,029","435,553","196,187","440,198","155,297","388,887","253,591","180,886","243,158","296,448","200,442"
1851,"5,111,557","68,078","405,147","95,723","158,748","111,664","82,348","107,662","140,748","112,076","111,407","180,158","98,979","212,440","649,308","238,254","262,132","331,567","164,035","321,684","111,897","274,499","173,436","128,515","174,071","255,158","141,823"
1861,"4,402,111","57,137","410,252","90,946","124,515","90,650","71,694","90,713","110,373","90,043","90,879","143,954","86,479","166,305","544,818","201,800","217,277","249,106","134,252","271,478","104,744","254,796","157,272","124,845","153,906","237,395","126,482"
1871,"4,053,187","51,650","405,262","83,614","109,379","79,771","64,501","84,021","95,558","75,900","78,432","132,666","78,697","147,864","517,076","196,586","191,936","216,713","123,310","248,458","95,562","246,030","140,670","115,493","140,735","218,334","114,969"
1881,"3,870,020","46,568","418,910","75,804","99,531","73,124","61,009","77,684","87,469","72,852","71,798","123,854","70,386","141,457","495,607","201,039","180,632","199,612","112,768","242,005","90,372","245,212","132,490","111,578","129,476","206,035","102,748"
1891,"3,468,694","40,936","419,216","70,206","87,261","64,883","52,647","71,038","76,987","65,563","65,109","111,778","62,136","124,483","438,432","179,136","158,912","173,188","98,251","214,712","78,618","219,034","114,397","98,013","111,917","185,635","86,206"
1901,"3,221,823","37,748","448,206","63,566","79,159","57,417","46,672","65,820","67,497","60,187","61,629","104,104","60,824","112,334","404,611","165,726","146,098","160,232","87,187","192,549","69,343","199,166","101,791","84,083","97,541","173,722","74,611"
1911,"3,139,688","36,252","477,196","66,627","74,962","54,629","43,820","63,665","65,091","56,832","59,986","102,273","60,711","104,232","392,104","159,691","143,069","152,433","83,966","182,224","63,582","192,177","93,956","79,045","91,173","168,537","71,455"
1926,"2,971,992","34,476","505,654","58,028","70,990","51,540","39,847","62,739","62,969","52,592","56,818","95,848","57,591","95,064","365,747","149,171","140,343","141,015","78,562","169,366","55,907","172,690","83,556","71,388","82,452","152,508","65,131"
1936,"2,968,420","34,452","586,925","57,892","68,614","50,109","37,847","64,339","61,405","51,308","54,706","94,245","58,569","89,879","355,957","139,834","141,153","137,835","77,614","168,198","50,908","161,349","77,566","67,447","76,670","142,310","61,289"
1946,"2,955,107","34,081","636,193","64,849","66,712","49,697","36,218","66,194","66,232","53,686","54,949","91,855","60,451","85,064","343,668","133,893","142,559","136,014","76,108","165,201","44,591","148,120","72,510","62,375","70,355","136,317","57,215"
1951,"2,960,593","34,162","693,022","66,437","65,235","48,430","34,553","68,771","66,337","52,544","54,463","90,032","62,590","81,329","341,284","126,644","141,239","133,313","75,061","160,204","41,209","141,867","68,102","60,513","66,377","131,530","55,345"
1956,"2,898,264","33,888","705,781","65,915","64,089","47,087","32,969","69,194","66,762","51,970","54,122","87,259","59,906","77,176","336,663","122,072","137,881","129,415","74,031","155,553","37,056","133,052","63,710","56,850","61,740","122,059","52,064"
1961,"2,818,341","33,342","718,332","64,420","61,668","45,069","30,643","67,378","65,122","51,533","52,861","83,308","58,473","73,702","330,443","116,458","133,339","123,822","71,439","149,887","33,470","123,330","59,217","53,561","56,594","113,842","47,088"
1966,"2,884,002","33,593","795,047","66,404","60,463","44,595","28,989","69,519","67,323","51,717","52,900","83,437","60,428","73,597","339,703","112,785","137,357","122,812","73,080","148,340","30,572","115,547","56,228","51,263","54,022","108,549","45,732"
1971,"2,978,248","34,237","852,219","71,977","61,473","45,259","28,250","74,951","71,729","51,829","53,570","86,351","66,295","75,008","352,883","112,772","140,459","123,565","77,315","149,223","28,360","109,525","53,519","50,275","52,618","108,344","46,242"
1979,"3,368,217","38,668","983,683","97,185","69,156","49,936","30,785","86,135","90,715","57,342","59,885","96,421","83,950","84,919","396,118","120,356","157,407","133,741","87,278","167,838","27,844","114,019","54,189","54,610","53,720","121,941","50,376"
1981,"3,443,405","39,820","1,003,164","104,122","70,806","51,171","31,140","88,514","95,419","58,312","61,523","99,081","87,449","87,567","402,465","122,770","161,661","135,261","88,591","172,018","27,609","114,766","54,543","55,474","53,855","125,112","51,192"
1986,"3,540,643","40,988","1,021,449","116,247","73,186","53,284","31,496","91,810","103,881","59,835","63,379","102,552","94,542","91,344","412,735","124,159","164,569","136,619","91,151","178,552","27,035","115,184","54,592","56,046","53,965","129,664","52,379"
1991,"3,525,719","40,942","1,025,304","122,656","73,635","52,314","30,296","90,724","105,370","58,494","61,880","102,069","97,265","90,918","410,369","121,894","161,956","132,772","91,624","180,364","25,301","110,713","51,897","54,756","52,796","128,117","51,293"
1996,"3,626,087","41,616","1,058,264","134,992","75,336","52,945","30,166","92,166","109,732","59,117","63,314","104,371","102,683","94,006","420,510","126,130","165,042","133,535","94,680","188,854","25,057","111,524","51,975","55,821","52,944","129,994","51,313"
2002,"3,917,203","46,014","1,122,821","163,944","80,339","58,774","31,068","101,821","134,005","63,663","71,858","116,596","114,676","103,277","447,829","132,527","175,304","140,131","101,546","209,077","25,799","117,446","53,774","58,200","56,546","137,575","52,593"
2006,"4,239,848","50,349","1,187,176","186,335","87,558","67,059","34,391","111,267","162,831","70,868","79,346","131,749","126,194","110,950","481,295","139,835","184,055","149,244","107,961","231,670","28,950","123,839","58,768","60,894","64,003","147,264","55,997"
2011,"4,588,252","54,612","1,273,069","210,312","95,419","80,559","39,000","122,897","184,135","76,687","86,164","145,320","136,640","117,196","519,032","145,502","191,809","158,754","113,795","250,653","31,798","130,638","64,065","65,393","73,183","161,137","60,483"
2016,"4,761,865","56,932","1,347,359","222,504","99,232","84,697","40,873","128,884","195,044","77,961","88,770","149,722","142,425","118,817","542,868","147,707","194,899","159,553","116,176","258,058","32,044","130,507","64,544","65,535","76,176","159,192","61,386"
